Transaction_ID,Date,Amount,Merchant,Card_Number,Transaction_Type
71,2023-10-03 20:02:30,136.45,Gas Station,3867,Not Fraudulent
72,2023-11-17 08:06:44,106.45,Amazon,5370,Not Fraudulent
73,2023-11-01 21:10:31,156.97,Starbucks,4058,Not Fraudulent
74,2023-09-17 11:38:21,38.26,Best Buy,4237,Not Fraudulent
75,2023-08-31 19:53:59,120.12,Walmart,1258,Not Fraudulent
76,2023-01-01 10:39:06,65.76,Target,6433,Not Fraudulent
77,2023-08-26 15:17:39,56.46,Target,4269,Not Fraudulent
78,2023-07-11 16:28:44,71.06,Amazon,8571,Not Fraudulent
79,2023-11-18 14:06:32,84.42,Target,6813,Not Fraudulent
80,2023-12-03 22:38:38,102.81,Starbucks,2076,Not Fraudulent
81,2023-05-10 09:02:40,41.74,Target,8780,Not Fraudulent
82,2023-04-05 17:24:50,145.04,Starbucks,8480,Not Fraudulent
83,2023-10-11 14:41:22,123.28,Target,6959,Not Fraudulent
84,2023-05-07 07:07:27,23.19,Walmart,1561,Not Fraudulent
85,2023-10-01 06:25:25,174.41,Gas Station,9635,Not Fraudulent
86,2023-12-05 01:22:47,194.79,Target,4181,Not Fraudulent
87,2023-01-25 11:03:21,158.94,Target,2158,Not Fraudulent
88,2023-03-16 04:52:27,91.0,Starbucks,4473,Not Fraudulent
89,2023-12-23 03:14:10,46.46,Target,8808,Not Fraudulent
90,2023-08-09 09:35:00,152.72,Target,3586,Not Fraudulent
91,2023-03-28 02:25:48,79.84,Best Buy,2876,Not Fraudulent
92,2023-04-03 16:03:41,1394.02,Best Buy,8338,
93,2023-11-08 23:43:06,110.41,Amazon,9349,
94,2023-02-25 08:08:38,148.83,Gas Station,1411,
95,2023-11-08 22:10:30,117.82,Amazon,1201,
96,2023-07-30 21:01:59,135.33,Best Buy,2834,Not Fraudulent
97,2023-06-23 23:22:44,100.53,Walmart,4383,Not Fraudulent
98,2023-02-05 10:11:39,189.29,Gas Station,2515,Not Fraudulent
99,2023-02-01 05:48:33,106.35,Walmart,7490,Not Fraudulent
100,2023-05-05 07:07:30,120.1,Gas Station,1494,Not Fraudulent
101,2023-12-06 20:24:16,194.16,Gas Station,3305,Not Fraudulent
102,2023-07-17 06:20:59,32.61,Walmart,7083,Not Fraudulent
103,2023-12-29 06:38:29,36.48,Target,5793,Not Fraudulent
104,2023-07-10 00:29:00,148.47,Target,5022,Not Fraudulent
105,2023-02-12 08:29:34,41.34,Gas Station,1611,Not Fraudulent
106,2023-04-28 01:41:15,197.18,Starbucks,2956,Not Fraudulent
107,2023-08-03 02:10:59,79.32,Best Buy,6294,Not Fraudulent
108,2023-04-24 01:09:42,62.63,Gas Station,4753,Not Fraudulent
109,2023-10-02 09:37:46,196.15,Best Buy,4387,Not Fraudulent
110,2023-02-18 11:19:12,174.03,Gas Station,5260,
111,2023-08-01 14:31:08,1628.33,Starbucks,7400,
112,2023-05-10 05:27:34,145.3,Best Buy,6747,Not Fraudulent
113,2023-11-13 07:22:52,56.94,Walmart,9753,Not Fraudulent
114,2023-12-25 03:59:25,195.5,Starbucks,4661,Not Fraudulent
115,2023-07-29 19:48:29,86.6,Best Buy,4666,Not Fraudulent
116,2023-03-20 21:58:42,140.12,Target,2945,Not Fraudulent
117,2023-11-07 11:12:02,147.36,Amazon,3539,Not Fraudulent
118,2023-08-23 06:05:51,92.25,Gas Station,5818,Not Fraudulent
119,2023-08-01 12:33:15,130.7,Walmart,8397,Not Fraudulent
120,2023-08-17 04:59:16,146.11,Starbucks,6881,Not Fraudulent
121,2023-04-22 17:09:36,118.82,Best Buy,7073,Not Fraudulent
122,2023-06-22 19:35:54,45.03,Target,8396,Not Fraudulent
123,2023-02-05 14:04:22,114.91,Starbucks,4806,Not Fraudulent
124,2023-08-20 13:47:46,166.32,Amazon,6955,Not Fraudulent
125,2023-11-06 21:17:36,65.27,Amazon,6529,Not Fraudulent
126,2023-05-30 11:32:19,92.52,Amazon,7151,Not Fraudulent
127,2023-05-04 03:05:26,78.24,Amazon,1238,Not Fraudulent
128,2023-08-12 13:27:22,192.46,Gas Station,3475,Not Fraudulent
129,2023-04-05 00:36:08,133.61,Gas Station,7181,Not Fraudulent
130,2023-04-23 18:04:01,120.37,Gas Station,8614,Not Fraudulent
131,2023-03-13 09:46:50,61.5,Walmart,6936,Not Fraudulent
132,2023-03-15 13:15:18,126.96,Starbucks,8680,Not Fraudulent
133,2023-11-16 00:37:45,66.28,Best Buy,5650,Not Fraudulent
134,2023-03-14 12:26:43,101.59,Gas Station,2477,Not Fraudulent
135,2023-01-13 19:19:30,68.21,Target,9953,Not Fraudulent
136,2023-08-26 23:27:35,133.82,Starbucks,2729,Not Fraudulent
137,2023-09-13 00:30:32,128.83,Amazon,6871,Not Fraudulent
138,2023-04-11 23:53:58,89.59,Amazon,3935,Not Fraudulent
139,2023-07-05 01:35:26,119.8,Best Buy,9788,Not Fraudulent
140,2023-01-27 19:55:16,45.35,Target,1901,Not Fraudulent
141,2023-02-04 21:13:25,25.44,Gas Station,6870,Not Fraudulent
142,2023-09-21 14:09:56,121.97,Best Buy,7859,Not Fraudulent
143,2023-10-22 05:22:49,108.33,Best Buy,6742,Not Fraudulent
144,2023-02-20 13:46:47,131.75,Amazon,3211,Not Fraudulent
145,2023-12-07 12:05:31,219.16,Target,5028,Not Fraudulent
146,2023-02-28 01:54:36,147.22,Starbucks,1340,Not Fraudulent
147,2023-12-25 14:32:05,54.36,Gas Station,9707,Not Fraudulent
148,2023-01-16 00:09:55,155.85,Starbucks,8850,Not Fraudulent
149,2023-11-24 04:17:54,34.2,Best Buy,3160,Not Fraudulent
150,2023-02-01 03:58:06,76.92,Target,8089,Not Fraudulent
151,2023-12-15 19:34:48,96.59,Starbucks,4932,Not Fraudulent
152,2023-09-29 14:09:39,185.67,Best Buy,9473,Not Fraudulent
153,2023-12-25 11:45:06,62.76,Walmart,5448,Not Fraudulent
154,2023-11-19 02:12:12,58.68,Gas Station,3523,Not Fraudulent
155,2023-07-29 22:45:23,95.08,Starbucks,1784,Not Fraudulent
156,2023-09-23 10:40:00,66.83,Walmart,9835,Not Fraudulent
157,2023-06-01 23:08:36,156.33,Gas Station,8772,Not Fraudulent
158,2023-11-22 09:28:11,46.0,Amazon,8801,Not Fraudulent
159,2023-10-01 21:43:03,42.63,Best Buy,1819,Not Fraudulent
160,2023-07-23 17:23:00,78.11,Starbucks,7579,Not Fraudulent
161,2023-04-18 01:05:46,75.1,Walmart,3378,Not Fraudulent
162,2023-07-22 15:26:10,196.48,Walmart,9790,Not Fraudulent
163,2023-11-12 04:55:40,147.47,Starbucks,7994,Not Fraudulent
164,2023-04-02 11:02:06,104.38,Walmart,2943,Not Fraudulent
165,2023-11-26 21:46:59,38.73,Gas Station,1874,Not Fraudulent
166,2023-03-25 13:49:17,142.22,Amazon,1185,Not Fraudulent
167,2023-12-14 14:22:04,49.99,Target,2263,Not Fraudulent
168,2023-09-21 21:09:36,22.76,Amazon,4303,Not Fraudulent
169,2023-08-18 01:20:43,159.4,Best Buy,3170,Not Fraudulent
170,2023-11-17 12:00:41,115.85,Target,9261,Not Fraudulent
171,2023-06-12 21:18:28,146.04,Best Buy,6415,Not Fraudulent
172,2023-08-14 03:08:56,115.94,Target,5551,Not Fraudulent
173,2023-04-17 21:09:02,142.84,Walmart,8411,Not Fraudulent
174,2023-06-24 23:33:09,67.45,Starbucks,3395,Not Fraudulent
175,2023-07-11 07:52:51,48.29,Best Buy,5792,Not Fraudulent
176,2023-09-14 09:55:58,134.08,Best Buy,6428,Not Fraudulent
177,2023-09-07 00:23:15,59.83,Walmart,6551,Not Fraudulent
178,2023-09-29 22:34:29,65.52,Best Buy,4469,Not Fraudulent
179,2023-12-23 02:30:41,77.22,Walmart,5480,Not Fraudulent
180,2023-11-05 02:19:32,100.87,Walmart,6717,Not Fraudulent
181,2023-05-19 18:54:25,82.3,Amazon,2496,Not Fraudulent
182,2023-02-01 23:46:18,31.25,Target,1599,Not Fraudulent
183,2023-05-06 22:55:35,67.82,Best Buy,7503,Not Fraudulent
184,2023-08-26 23:33:09,-11.17,Gas Station,9316,Not Fraudulent
185,2023-02-14 19:08:15,131.26,Best Buy,9896,Not Fraudulent
186,2023-07-08 21:59:18,19.9,Amazon,8795,Not Fraudulent
187,2023-08-16 23:55:58,44.78,Gas Station,8521,Not Fraudulent
188,2023-09-02 17:23:56,102.61,Target,4255,Not Fraudulent
189,2023-05-11 04:56:50,63.02,Target,2218,Not Fraudulent
190,2023-11-25 04:41:38,177.15,Starbucks,8809,Not Fraudulent
191,2023-03-15 22:27:34,35.36,Walmart,2999,Not Fraudulent
192,2023-04-05 09:15:22,113.35,Gas Station,5288,Not Fraudulent
193,2023-01-07 07:04:44,98.04,Gas Station,8626,Not Fraudulent
194,2023-10-12 01:58:25,41.6,Target,5061,Not Fraudulent
195,2023-04-16 06:15:24,126.16,Amazon,7958,Not Fraudulent
196,2023-02-15 11:46:14,91.42,Walmart,6968,Not Fraudulent
197,2023-10-01 22:10:52,138.59,Starbucks,7617,Not Fraudulent
198,2023-03-27 14:50:28,141.18,Target,5532,Not Fraudulent
199,2023-05-25 11:51:08,208.16,Target,1698,Not Fraudulent
200,2023-11-05 14:03:00,166.83,Walmart,3005,Not Fraudulent
201,2023-03-08 05:00:19,81.54,Amazon,6385,Not Fraudulent
202,2023-05-10 03:27:41,88.03,Best Buy,3051,Not Fraudulent
203,2023-06-15 11:49:48,154.98,Amazon,9459,Not Fraudulent
204,2023-11-13 20:51:40,132.76,Starbucks,3868,Not Fraudulent
205,2023-01-25 03:40:32,132.01,Best Buy,1954,Not Fraudulent
206,2023-02-09 01:43:48,19.15,Gas Station,2261,Not Fraudulent
207,2023-11-01 03:11:36,98.78,Target,4851,Not Fraudulent
208,2023-02-26 20:09:35,63.1,Walmart,4758,Not Fraudulent
209,2023-11-29 04:11:04,114.0,Target,9895,Not Fraudulent
210,2023-09-28 22:45:42,95.09,Starbucks,9934,Not Fraudulent
211,2023-03-26 23:07:02,145.51,Amazon,9881,Not Fraudulent
212,2023-01-18 13:36:43,115.86,Amazon,8707,Not Fraudulent
213,2023-11-14 08:06:47,139.32,Walmart,8969,Not Fraudulent
214,2023-08-11 20:49:08,76.68,Walmart,9340,Not Fraudulent
215,2023-09-04 07:13:55,52.78,Target,2638,Not Fraudulent
216,2023-12-20 09:57:50,79.5,Starbucks,6797,Not Fraudulent
217,2023-12-30 16:59:47,99.15,Walmart,2616,Not Fraudulent
218,2023-07-27 11:05:09,118.96,Target,6435,Not Fraudulent
219,2023-08-22 20:38:08,212.97,Target,4273,Not Fraudulent
220,2023-09-22 07:33:01,97.89,Walmart,8370,Not Fraudulent
221,2023-01-29 17:42:03,52.2,Target,2473,Not Fraudulent
222,2023-01-11 08:49:55,82.7,Walmart,2475,Not Fraudulent
223,2023-02-18 07:53:58,76.82,Gas Station,2978,Not Fraudulent
224,2023-09-04 14:37:41,124.07,Starbucks,8856,Not Fraudulent
225,2023-03-15 05:08:22,22.96,Amazon,3393,Not Fraudulent
226,2023-08-24 11:29:01,103.16,Gas Station,8711,Not Fraudulent
227,2023-11-19 08:57:48,107.83,Best Buy,5834,Not Fraudulent
228,2023-08-12 16:16:14,111.61,Target,2448,Not Fraudulent
229,2023-02-16 11:38:33,70.13,Target,8392,Not Fraudulent
230,2023-06-01 22:20:09,88.1,Best Buy,3173,Not Fraudulent
231,2023-02-05 13:08:19,28.8,Target,9350,Not Fraudulent
232,2023-05-24 17:57:15,75.33,Amazon,5265,Not Fraudulent
233,2023-11-20 19:59:36,72.86,Gas Station,9355,Not Fraudulent
234,2023-02-15 01:37:42,120.8,Amazon,3148,Not Fraudulent
235,2023-01-15 03:11:54,42.19,Amazon,4111,Not Fraudulent
236,2023-08-24 03:42:28,139.06,Starbucks,2207,Not Fraudulent
237,2023-01-09 09:40:00,174.72,Walmart,1681,Not Fraudulent
238,2023-03-17 13:43:08,-3.5,Walmart,1629,Not Fraudulent
239,2023-03-13 20:03:48,121.31,Starbucks,6071,Not Fraudulent
240,2023-10-06 21:18:04,133.85,Amazon,5573,Not Fraudulent
241,2023-02-18 02:47:11,68.13,Starbucks,8886,Not Fraudulent
242,2023-07-06 02:46:53,80.14,Gas Station,4849,Not Fraudulent
243,2023-03-23 18:42:55,93.36,Walmart,8448,Not Fraudulent
244,2023-10-10 09:34:40,85.11,Starbucks,9481,Not Fraudulent
245,2023-11-07 23:29:57,84.55,Starbucks,4308,Not Fraudulent
246,2023-01-24 17:21:08,16.2,Target,6977,Not Fraudulent
247,2023-12-30 21:11:07,157.62,Gas Station,7218,Not Fraudulent
248,2023-09-21 19:58:29,153.98,Walmart,4506,Not Fraudulent
249,2023-01-09 20:20:56,59.33,Walmart,7983,Not Fraudulent
250,2023-07-31 08:38:30,26.68,Starbucks,9439,Not Fraudulent
251,2023-06-15 07:03:18,126.05,Best Buy,3269,Not Fraudulent
252,2023-08-30 00:24:39,71.21,Amazon,2189,Not Fraudulent
253,2023-02-09 10:03:02,107.1,Gas Station,4805,Not Fraudulent
254,2023-11-21 15:10:38,84.03,Best Buy,7975,Not Fraudulent
255,2023-04-11 22:37:44,134.58,Starbucks,5981,Not Fraudulent
256,2023-01-28 04:29:14,134.74,Target,4388,Not Fraudulent
257,2023-03-27 18:16:40,63.72,Starbucks,5790,Not Fraudulent
258,2023-01-28 22:49:29,30.83,Walmart,3429,Not Fraudulent
259,2023-09-09 05:47:05,20.85,Gas Station,3589,Not Fraudulent
260,2023-04-27 22:05:48,130.52,Gas Station,5498,Not Fraudulent
261,2023-05-17 00:58:35,40.56,Gas Station,6857,Not Fraudulent
262,2023-06-19 08:27:15,74.66,Target,2751,Not Fraudulent
263,2023-03-12 00:41:04,70.18,Amazon,3358,Not Fraudulent
264,2023-01-24 16:57:24,97.37,Walmart,7016,Not Fraudulent
265,2023-07-15 14:13:56,3.19,Walmart,7890,Not Fraudulent
266,2023-07-01 09:58:43,109.44,Walmart,2839,Not Fraudulent
267,2023-01-16 07:02:10,126.19,Walmart,4379,Not Fraudulent
268,2023-08-20 15:38:32,104.42,Target,6950,Not Fraudulent
269,2023-02-09 04:39:14,84.46,Starbucks,7192,Not Fraudulent
270,2023-09-29 14:09:50,104.87,Best Buy,4056,Not Fraudulent
271,2023-06-01 22:57:30,119.95,Target,4044,Not Fraudulent
272,2023-03-19 10:07:50,-38.63,Best Buy,7529,Not Fraudulent
273,2023-04-12 00:37:03,197.8,,5213,Not Fraudulent
274,2023-05-20 05:58:39,119.5,,3440,Not Fraudulent
275,2023-12-18 05:36:22,67.38,,1707,Not Fraudulent
276,2023-10-12 02:59:25,80.45,,6911,Not Fraudulent
277,2023-07-02 14:43:56,124.69,,1387,Not Fraudulent
278,2023-11-22 13:46:11,94.19,,5262,Not Fraudulent
279,2023-12-17 10:05:05,-1.53,,8715,Not Fraudulent
280,2023-12-23 16:52:23,203.22,,6261,Not Fraudulent
281,2023-08-10 06:37:39,94.47,,3806,Not Fraudulent
282,2023-03-07 19:09:06,151.01,,4472,Not Fraudulent
283,2023-09-28 23:00:28,65.4,,2112,Not Fraudulent
284,2023-09-19 05:27:52,176.82,,2000,Not Fraudulent
285,2023-03-20 23:57:44,114.32,,4073,Not Fraudulent
286,2023-10-26 00:12:17,130.44,,1384,Not Fraudulent
287,2023-01-23 13:04:26,47.74,,9168,Not Fraudulent
288,2023-11-03 06:44:05,160.56,,6846,Not Fraudulent
289,2023-09-20 14:39:26,134.49,,7440,Not Fraudulent
290,2023-03-03 10:36:40,165.09,,8932,Not Fraudulent
291,2023-11-25 07:55:42,68.6,,2070,Not Fraudulent
292,2023-03-04 21:31:16,75.95,,2464,Not Fraudulent
293,2023-05-13 22:35:02,215.2,,2700,Not Fraudulent
294,2023-07-25 15:03:26,47.0,,4852,Not Fraudulent
295,2023-04-08 08:34:31,93.2,,2569,Not Fraudulent
296,2023-02-15 12:30:10,156.84,,4901,Not Fraudulent
297,2023-08-20 18:29:56,104.89,,7673,Not Fraudulent
298,2023-12-24 20:14:30,129.15,,4492,Not Fraudulent
299,2023-06-21 18:39:56,80.03,,4108,Not Fraudulent
300,2023-09-16 11:53:45,118.5,,8575,Not Fraudulent
301,2023-03-09 21:26:08,34.67,,4109,Not Fraudulent
302,2023-01-06 03:04:04,182.91,,1133,Not Fraudulent
303,2023-07-03 03:52:02,94.09,,4747,Not Fraudulent
304,2023-09-22 13:59:46,65.99,,3966,Not Fraudulent
305,2023-06-09 04:35:42,133.32,,1206,Not Fraudulent
306,2023-12-16 13:31:18,76.96,,7247,Not Fraudulent
307,2023-08-10 00:30:54,33.29,,3682,Not Fraudulent
308,2023-12-06 17:46:14,32.66,Best Buy,1871,Not Fraudulent
309,2023-07-17 12:29:48,134.69,Starbucks,6808,Not Fraudulent
310,2023-12-23 07:49:24,92.02,Amazon,8051,Not Fraudulent
311,2023-05-01 22:53:13,93.31,Best Buy,2141,Not Fraudulent
312,2023-09-10 00:29:54,153.89,Starbucks,6923,Not Fraudulent
313,2023-05-19 16:53:41,43.66,Starbucks,7954,Not Fraudulent
314,2023-05-31 22:24:29,63.47,Walmart,1224,Not Fraudulent
315,2023-11-22 07:34:04,80.76,Amazon,7713,Not Fraudulent
316,2023-09-13 09:25:38,104.72,Amazon,7669,Not Fraudulent
317,2023-04-08 10:51:43,97.89,Starbucks,6758,Not Fraudulent
318,2023-03-01 13:54:38,85.66,Target,6302,Not Fraudulent
319,2023-08-06 17:10:21,96.92,Walmart,6503,Not Fraudulent
320,2023-09-26 06:56:05,94.63,Amazon,7960,Not Fraudulent
321,2023-01-05 19:54:53,64.02,Amazon,7107,Not Fraudulent
322,2023-06-27 20:26:33,59.35,Target,6883,Not Fraudulent
323,2023-10-15 23:58:27,113.73,Target,8068,Not Fraudulent
324,2023-01-31 17:01:16,55.45,Amazon,6579,Not Fraudulent
325,2023-05-11 10:58:09,42.13,Gas Station,3033,Not Fraudulent
326,2023-10-15 00:07:46,84.39,Target,9317,Not Fraudulent
327,2023-01-18 17:55:19,92.12,Best Buy,9873,Not Fraudulent
328,2023-07-31 09:25:31,212.84,Amazon,3014,Not Fraudulent
329,2023-04-20 02:01:15,64.76,Best Buy,9890,Not Fraudulent
330,2023-02-22 08:46:39,147.16,Best Buy,7894,Not Fraudulent
331,2023-04-04 06:10:39,137.36,Gas Station,2344,Not Fraudulent
332,2023-10-23 23:54:29,40.55,Target,4892,Not Fraudulent
333,2023-07-07 02:57:14,138.66,Walmart,3017,Not Fraudulent
334,2023-05-17 18:58:48,40.81,Gas Station,6010,Not Fraudulent
335,2023-08-25 22:52:35,-32.96,Walmart,2251,Not Fraudulent
336,2023-04-22 19:12:59,130.32,Walmart,5151,Not Fraudulent
337,2023-09-19 12:34:30,12.21,Starbucks,5518,Not Fraudulent
338,2023-05-20 11:59:52,122.55,Best Buy,4124,Not Fraudulent
339,2023-08-18 05:47:12,65.8,Best Buy,8440,Not Fraudulent
340,2023-12-13 09:30:58,182.98,Target,3247,Not Fraudulent
341,2023-09-04 02:57:29,153.43,Best Buy,5578,Not Fraudulent
342,2023-11-28 13:45:14,77.33,Starbucks,1167,Not Fraudulent
343,2023-08-30 04:51:20,65.61,Gas Station,8808,Not Fraudulent
344,2023-02-21 09:32:17,39.3,Walmart,5996,Not Fraudulent
345,2023-10-05 22:03:20,77.95,Starbucks,9976,Not Fraudulent
346,2023-05-01 12:10:59,85.98,Amazon,2545,Not Fraudulent
347,2023-05-31 16:34:57,81.77,Gas Station,2697,Not Fraudulent
348,2023-10-18 16:23:38,107.84,Target,5943,Not Fraudulent
349,2023-06-10 22:39:20,128.93,Best Buy,2512,Not Fraudulent
350,2023-11-18 21:56:01,117.48,Starbucks,4156,Not Fraudulent
351,2023-09-10 18:12:07,61.79,Amazon,5229,Not Fraudulent
352,2023-02-01 08:23:38,28.11,Walmart,4974,Not Fraudulent
353,2023-01-01 14:12:24,168.23,Target,6296,Not Fraudulent
354,2023-08-19 21:51:31,,Starbucks,5794,Not Fraudulent
355,2023-03-16 16:27:17,,Walmart,4339,Not Fraudulent
356,2023-09-29 07:15:45,,Gas Station,2688,Not Fraudulent
357,2023-05-10 20:50:58,,Starbucks,9696,Not Fraudulent
358,2023-03-04 04:03:06,,Target,9953,Not Fraudulent
359,2023-04-03 23:31:06,,Gas Station,8387,Fraudulent
360,2023-03-28 15:25:20,,Best Buy,8711,Not Fraudulent
361,2023-09-05 12:59:34,,Starbucks,6921,Not Fraudulent
362,2023-06-24 00:55:26,,Target,3130,Not Fraudulent
363,2023-05-28 01:15:20,,Amazon,7791,Not Fraudulent
364,2023-10-03 20:56:29,,Target,2776,Not Fraudulent
365,2023-12-06 23:32:14,,Best Buy,7360,Not Fraudulent
366,2023-09-19 16:02:24,,Amazon,7734,Not Fraudulent
367,2023-08-09 15:33:18,,Amazon,2696,Not Fraudulent
368,2023-12-06 15:16:54,,Walmart,1999,Not Fraudulent
369,2023-06-10 22:32:51,,Walmart,4964,Not Fraudulent
370,2023-01-13 06:01:30,,Gas Station,8168,Not Fraudulent
371,2023-06-06 05:24:03,,Target,6320,Not Fraudulent
372,2023-12-05 12:43:22,,Target,9885,Not Fraudulent
373,2023-09-30 13:31:34,,Walmart,5700,Not Fraudulent
374,2023-08-09 09:13:32,,Walmart,7630,Not Fraudulent
375,2023-06-12 10:09:14,,Walmart,8915,Not Fraudulent
376,2023-10-27 21:17:33,,Target,1490,Not Fraudulent
377,2023-09-15 04:06:46,,Target,1265,Not Fraudulent
378,2023-10-03 08:24:54,,Gas Station,1531,Not Fraudulent
379,2023-01-19 04:01:05,,Starbucks,4875,Not Fraudulent
380,2023-03-06 08:12:09,,Walmart,7069,Not Fraudulent
381,2023-06-22 22:58:59,,Walmart,6387,Not Fraudulent
382,2023-01-25 19:27:48,,Starbucks,4979,Not Fraudulent
383,2023-04-11 16:10:12,,Amazon,3519,Not Fraudulent
384,2023-09-30 10:36:16,,Starbucks,8669,Not Fraudulent
385,2023-03-03 05:44:43,,Gas Station,8742,Not Fraudulent
386,2023-06-23 08:25:14,17.16,Walmart,1049,Not Fraudulent
387,2023-07-24 21:20:16,50.72,Starbucks,5520,Not Fraudulent
388,2023-12-10 16:17:23,26.41,Best Buy,1864,Not Fraudulent
389,2023-07-09 05:38:40,182.41,Target,1410,Not Fraudulent
390,2023-12-19 15:32:41,108.21,Walmart,5880,Not Fraudulent
391,2023-08-07 00:40:23,128.36,Best Buy,3257,Not Fraudulent
392,2023-08-23 13:28:38,88.87,Best Buy,2284,Not Fraudulent
393,2023-10-21 09:37:42,82.33,Best Buy,8064,Not Fraudulent
394,2023-01-01 00:38:40,19.18,Walmart,7823,Not Fraudulent
395,2023-12-10 06:18:48,85.41,Best Buy,6379,Not Fraudulent
396,2023-01-16 02:40:09,61.93,Starbucks,7637,Not Fraudulent
397,2023-07-12 01:50:40,142.9,Best Buy,4314,Not Fraudulent
